Labels,Sentence
NAME,"Dr. N.B. Khare vs The State Of Delhi on 26 May, 1950 "
CITATION,"Equivalent citations: 1950 AIR 211, 1950 SCR 519 "
,
,
,
,
,XXXVII of 1950.
,Application under article 32 of the Constitution of India for a writ of certiorari and prohibition.
,The facts are set out in the judgment.
COUNSEL ,B. Banerji for the petitioner. 
COUNSEL,"M.C. Setalvad, Attorney General for India (Gyan Chand, with him) for the opposite party. "
,522 1950.
,May 26.
JUDGE,The following judgments were delivered: KANIA C.J. 
,This is an application for a writ of 'certiorari and prohibition under article 32 of the Constitution of India.
FACT,"The petitioner who is the President of the All India Hindu Mahasabha since December, 1949, was served with an order of externment dated the gist of March, 1950, that night."
FACT,"By that order he is directed by the District Magistrate, Delhi, not to remain in the Delhi District, and immediately to remove himself from the Delhi District and not to return to the District. "
FACT,The order was to continue in force for three months.
,By another order of the Madhya Bharat Government he was directed to reside in Nagpur.
FACT,That order has been recently canceled. 
ARG,"The petitioner disputes the validity of the first order on the ground that the East Punjab Public Safety Act, 1949, under which the order was made, is an infringement of his fundamental right given under article 19 (1) (d) of the Constitution of India. "
ARG,"He further contends that the grounds of the order served on him are vague, insufficient and incomplete. "
ARG,"According to him the object of the externment order passed by the District Magistrate, Delhi, was to suppress political opposition to the policy of the Government in respect of Pakistan and the Muslim League. "
ARG,It is alleged that because the petitioner and the Hindu Mahasabha are against the Government policy of appeasement this order is served on him. 
ARG,It is therefore mala fide and illegal. 
 PRECEDENT,"In support of his contention about the invalidity of the East Punjab Public Safety Act and its provisions as regards externment, counsel for the petitioner relied on the recent unreported judgments of the Patna High Court in Miscellaneous Judicial Case No. 29 of 1950, Brijnandan vs The State of Bihar, and of the High Court of Bombay in Criminal Application No. 114 of 1950, re Jai singhbhai Ishwarlal Modi."
STATUTE,It is necessary first to ascertain the true meaning of article 19 (1) (d) read with clause (5) of the same article.
FACT,There is no doubt that by the order of extern 523 meant the right of the petitioner to freedom of movement throughout the territory of India is abridged. 
ISSUE ,The only question is whether the limits of permissible legislation under clause (5) are exceeded. -ISSUE 
,"That clause provides as follows: ""19."
,"(5) Nothing in subclauses (d), (e) and (f) of the said clause shall affect the operation of any existing law in so far as it imposes, or prevent the State from making any law imposing, reasonable restrictions on the exercise of any of the rights conferred by the said sub clauses either in the interests of the general public or for the protection of the interests of any Scheduled Tribe."
STATUTE,""" It is clear that the clause permits imposition of reasonable restrictions on the exercise of the right conferred by sub clause (d)in the interests of the general public."
,The rest of the provision of clause (5) is not material and neither side relies on it.
,Two interpretations of the clause are put before the Court.
,It is argued that grammatically understood the only question before the Court is whether the impugned legislation imposes reasonable restrictions on the exercise of the right.
ISSUE,"To put it in other words, the only justiciable issue to be decided by the Court is whether the restrictions imposed by the legislation on the exercise of the right are reasonable. "
,"If those restrictions on the exercise of the right are reasonable, the Court has not to consider whether the law imposing the restrictions is reasonable. "
,"The other interpretation is that while the Constitution permits a law laying down reasonable restrictions on the exercise of the rights mentioned in sub clause 19 (1) (d), the reasonableness has to be of the law also."
obitre,"It is submitted that in deciding whether the restrictions on the exercise of the right are reasonable, the Court has to decide not only on the extent and nature of the restrictions on the exercise of the right but also as to whether the conditions under which the right is restricted are reasonable. "
PRECEDENT,"The majority judgments of the Patna and the Bombay High Courts, although the impugned Acts of the State Legislatures before them were materially different on certain important points, have given clause (5) of article 19 the latter meaning. "
 REASONING,"524 In my opinion, clause (5) must be given its full meaning. "
ISSUE ,The question which the Court has to consider is whether the restrictions put by the impugned legislation on the exercise of the right are reasonable or not. 
,The question whether the provisions of the Act provide reasonable safeguards against the abuse of the power given to the executive authority to administer the law is not relevant for the true interpretation of the 'clause.
ISSUE ,"The Court, on either interpretation, will be entitled to consider whether the restrictions on the right to move throughout India, i.e,, both as regards the territory and the duration, are reasonable or not. "
,The law providing reasonable restrictions on the exercise of the right conferred by article 19 may contain substantive provisions as well as procedural provisions.
REASONING ,"While the reasonableness of the restrictions has to be considered with regard to the exercise of the right, it does not necessarily exclude from the consideration of the Court the question of reasonableness of the procedural part of the law. "
REASONING,"It is obvious that if the law prescribes five years externment or ten years externment, the question whether such a period of externment is reasonable, being the substantive part, is necessarily for the consideration of the Court under clause (5). "
REASONING,"Similarly, if the law provides the procedure under which the exercise of the right may be restricted, the same is also for the consideration of the Court, as it has to determine if the exercise of the right has been reasonably restricted. "
REASONING,"I do not think by this interpretation the scope and ambit of the word ""reasonable"" as applied to restrictions on the exercise of the right, is in any way unjustifiably enlarged. "
REASONING ,"it seems that the narrow construction sought to be put on the expression, to restrict the Court 's power to consider only the substantive law on the point, is not correct. "
REASONING,In my opinion this aspect of the construction of article 19 (5) has escaped the minority judgment in the two matters mentioned above. 
REASONING,I am not concerned with the conclusions of the two Courts about the invalidity of the provisions of the Acts they were asked to consider. 
,To the extent they help in the interpretation of article 19 (5) only they are helpful.
ISSUE ,525 The next question is whether the impugned Act contains reasonable restrictions on the exercise of the right given under article 19 (1)(d)or (e). 
